_id,total
"{""url"": ""www.unilad.co.uk""}",1
"{""url"": ""www.boomlive.in""}",6
"{""url"": ""indiacsr.in""}",1
"{""url"": ""duexpress.in""}",2
"{""url"": ""samchui.com""}",1
"{""url"": ""financialpost.com""}",3
"{""url"": ""www.insidesport.co""}",20
"{""url"": ""medicaldialogues.in""}",3
"{""url"": ""www.thetimes.co.uk""}",8
"{""url"": ""amp.theguardian.combusiness""}",2
"{""url"": ""www.heraldgoa.in""}",1
"{""url"": ""www.cnbc.com""}",454
"{""url"": ""nokiapoweruser.com""}",1
"{""url"": ""lifestyle.livemint.com""}",5
"{""url"": ""renews.biz""}",2
"{""url"": ""www.popbuzz.com""}",1
"{""url"": ""www.thepharmaletter.com""}",1
"{""url"": ""www.cntraveller.in""}",6
"{""url"": ""www.marketscreener.com""}",1
"{""url"": ""www.designboom.com""}",2
"{""url"": ""www.genengnews.com""}",1
"{""url"": ""www.prnewswire.co.uk""}",1
"{""url"": ""www.facebook.com""}",1
"{""url"": ""caravanmagazine.in""}",2
"{""url"": ""www.liverpoolecho.co.uk""}",2
"{""url"": ""indiagoneviral.com""}",11
"{""url"": ""www.nasdaq.com""}",2
"{""url"": ""www.whitehouse.gov""}",1
"{""url"": ""www.efinancialcareers.com""}",4
"{""url"": ""zeenews.india.com""}",806
"{""url"": ""nationalinterest.org""}",1
"{""url"": ""www.indiantelevision.com""}",8
"{""url"": ""www.cityam.com""}",1
"{""url"": ""www.autocar.co.uk""}",3
"{""url"": ""sambadenglish.com""}",2
"{""url"": ""gizmodo.com""}",3
"{""url"": ""newseverything.in""}",1
"{""url"": ""www.business-live.co.uk""}",1
"{""url"": ""www.webpronews.com""}",6
"{""url"": ""www.chroniclelive.co.uk""}",1
"{""url"": ""factly.in""}",1
"{""url"": ""www.marca.com""}",2
"{""url"": ""leedaily.com""}",1
"{""url"": ""www.news24.com""}",1
"{""url"": ""www.bnnbloomberg.ca""}",1
"{""url"": ""www.newsfirst.lk""}",1
"{""url"": ""foxsanantonio.com""}",1
"{""url"": ""weather.com""}",16
"{""url"": ""www.gulftoday.ae""}",1
"{""url"": ""www.greentechmedia.com""}",2
"{""url"": ""www.missmalini.com""}",1
"{""url"": ""kashmirlife.net""}",1
"{""url"": ""punemirror.indiatimes.com""}",6
"{""url"": ""www.brusselstimes.com""}",2
"{""url"": ""hospitality.economictimes.indiatimes.com""}",1
"{""url"": ""www.dezeen.com""}",1
"{""url"": ""in.yahoo.com""}",1
"{""url"": ""www.indianweb2.com""}",1
"{""url"": ""www.bmj.com""}",1
"{""url"": ""www.carblogindia.com""}",2
"{""url"": ""ftw.usatoday.com""}",1
"{""url"": ""www.computerweekly.com""}",6
"{""url"": ""www.mirror.co.uk""}",2
"{""url"": ""medicalxpress.com""}",1
"{""url"": ""telecomtalk.info""}",624
"{""url"": ""www.yourmoney.com""}",1
"{""url"": ""www.theinformation.com""}",1
"{""url"": ""equitybulls.com""}",11
"{""url"": ""newsroompost.com""}",1
"{""url"": ""fox8.com""}",1
"{""url"": ""www.ndtv.com""}",3770
"{""url"": ""www.macrumors.com""}",5
"{""url"": ""www.independent.ie""}",1
"{""url"": ""adage.com""}",1
"{""url"": ""www.today.com""}",1
"{""url"": ""appleinsider.com""}",2
"{""url"": ""www.storypick.com""}",5
"{""url"": ""about.fb.com""}",1
"{""url"": ""www.biospectrumindia.com""}",1
"{""url"": ""en.as.com""}",2
"{""url"": ""theloadstar.com""}",2
"{""url"": ""brandinginasia.com""}",2
"{""url"": ""www.cnbctv18.com""}",2354
"{""url"": ""mashable.com""}",4
"{""url"": ""www.ericsson.com""}",19
"{""url"": ""amp.theguardian.comtechnology""}",1
"{""url"": ""www.capacitymedia.com""}",1
"{""url"": ""customerthink.com""}",1
"{""url"": ""www.finews.com""}",1
"{""url"": ""www.daijiworld.com""}",72
"{""url"": ""www.lowyinstitute.org""}",1
"{""url"": ""www.onmanorama.com""}",23
"{""url"": ""www.arabtimesonline.com""}",3
"{""url"": ""www.nzherald.co.nz""}",1
"{""url"": ""english.jagran.com""}",20
"{""url"": ""uk.investing.com""}",1
"{""url"": ""advrider.com""}",1
"{""url"": ""www.pharmacytimes.com""}",2
"{""url"": ""www.metalbulletin.com""}",1
"{""url"": ""inc42.com""}",181
"{""url"": ""www.accountingtoday.com""}",2
"{""url"": ""www.finextra.com""}",9
"{""url"": ""www.cp24.com""}",1
"{""url"": ""scroll.in""}",108
"{""url"": ""energy.economictimes.indiatimes.com""}",256
"{""url"": ""www.espn.in""}",2
"{""url"": ""supchina.com""}",1
"{""url"": ""www.bollywoodhungama.com""}",6
"{""url"": ""qz.com""}",88
"{""url"": ""www.sciencealert.com""}",8
"{""url"": ""www.devex.com""}",1
"{""url"": ""www.howtogeek.com""}",1
"{""url"": ""www.webmd.com""}",6
"{""url"": ""www.legallyindia.com""}",17
"{""url"": ""nationaltimes.in""}",1
"{""url"": ""www.slashgear.com""}",8
"{""url"": ""www.theepochtimes.com""}",3
"{""url"": ""www.rnz.co.nz""}",1
"{""url"": ""www.chicagotribune.com""}",1
"{""url"": ""ipolitics.ca""}",1
"{""url"": ""worldarchery.org""}",1
"{""url"": ""www.networkworld.com""}",3
"{""url"": ""www.thelivemirror.com""}",1
"{""url"": ""www.metrorailnews.in""}",2
"{""url"": ""travel.manoramaonline.com""}",1
"{""url"": ""www.socialnews.xyz""}",2
"{""url"": ""www.bikewale.com""}",283
"{""url"": ""thedriven.io""}",2
"{""url"": ""www.aa.com.tr""}",10
"{""url"": ""www.crainsnewyork.com""}",1
"{""url"": ""onemileatatime.com""}",2
"{""url"": ""www.urbantransportnews.com""}",1
"{""url"": ""newsjok.com""}",9
"{""url"": ""www.reuters.com""}",305
"{""url"": ""khn.org""}",1
"{""url"": ""www.asiatimes.com""}",3
"{""url"": ""www.indiancooperative.com""}",7
"{""url"": ""cryptodaily.co.uk""}",4
"{""url"": ""www.dawn.com""}",229
"{""url"": ""www.yahoo.com""}",1
"{""url"": ""bangaloremirror.indiatimes.com""}",67
"{""url"": ""www.greencarcongress.com""}",1
